# GB100/GB200 DCGM Exporter custom allowlist.
# Format: DCGM_FIELD, prometheus_type, help
# Some fields are hardware or DCGM-version dependent. Missing fields must be reported as unavailable and never filled with fake zero values.
DCGM_FI_DEV_NAME, gauge, GPU product name inventory field.
DCGM_FI_DEV_UUID, gauge, GPU UUID inventory field.
DCGM_FI_DEV_BRAND, gauge, GPU brand inventory field.
DCGM_FI_DEV_PCI_BUSID, gauge, PCI bus identifier inventory field.
DCGM_FI_DRIVER_VERSION, gauge, NVIDIA driver version inventory field.
DCGM_FI_CUDA_DRIVER_VERSION, gauge, CUDA driver version inventory field.
DCGM_FI_DEV_GPU_UTIL, gauge, GPU utilization percent.
DCGM_FI_DEV_MEM_COPY_UTIL, gauge, Memory copy utilization percent.
DCGM_FI_PROF_GR_ENGINE_ACTIVE, gauge, Graphics or compute engine active ratio.
DCGM_FI_PROF_SM_ACTIVE, gauge, SM active ratio.
DCGM_FI_PROF_SM_OCCUPANCY, gauge, SM occupancy ratio.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Tensor pipe active ratio.
DCGM_FI_PROF_DRAM_ACTIVE, gauge, DRAM active ratio.
DCGM_FI_PROF_PIPE_FP64_ACTIVE, gauge, FP64 pipe active ratio.
DCGM_FI_PROF_PIPE_FP32_ACTIVE, gauge, FP32 pipe active ratio.
DCGM_FI_PROF_PIPE_FP16_ACTIVE, gauge, FP16 pipe active ratio.
DCGM_FI_PROF_PIPE_TENSOR_IMMA_ACTIVE, gauge, Tensor IMMA pipe active ratio.
DCGM_FI_PROF_PIPE_TENSOR_HMMA_ACTIVE, gauge, Tensor HMMA pipe active ratio.
DCGM_FI_PROF_PIPE_TENSOR_DFMA_ACTIVE, gauge, Tensor DFMA pipe active ratio.
DCGM_FI_PROF_PIPE_INT_ACTIVE, gauge, Integer pipe active ratio.
DCGM_FI_DEV_POWER_USAGE, gauge, Average power draw in watts.
DCGM_FI_DEV_POWER_USAGE_INSTANT, gauge, Instantaneous power draw in watts.
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption in millijoules.
DCGM_FI_DEV_POWER_MGMT_LIMIT, gauge, Configured power management limit in watts.
DCGM_FI_DEV_ENFORCED_POWER_LIMIT, gauge, Enforced power limit in watts.
DCGM_FI_DEV_CLOCK_THROTTLE_REASONS, gauge, Clock throttle reason bitmask.
DCGM_FI_DEV_CLOCKS_EVENT_REASONS, gauge, Clock event reason bitmask.
DCGM_FI_DEV_POWER_VIOLATION, counter, Power violation duration or count.
DCGM_FI_DEV_THERMAL_VIOLATION, counter, Thermal violation duration or count.
DCGM_FI_DEV_RELIABILITY_VIOLATION, counter, Reliability violation duration or count.
DCGM_FI_DEV_SYNC_BOOST_VIOLATION, counter, Sync boost violation duration or count.
DCGM_FI_DEV_BOARD_LIMIT_VIOLATION, counter, Board limit violation duration or count.
DCGM_FI_DEV_GPU_TEMP, gauge, GPU core temperature in Celsius.
DCGM_FI_DEV_MEMORY_TEMP, gauge, GPU memory temperature in Celsius.
DCGM_FI_DEV_GPU_TEMP_LIMIT, gauge, GPU temperature limit in Celsius.
DCGM_FI_DEV_GPU_MAX_OP_TEMP, gauge, GPU maximum operating temperature in Celsius.
DCGM_FI_DEV_MEM_MAX_OP_TEMP, gauge, Memory maximum operating temperature in Celsius.
DCGM_FI_DEV_SLOWDOWN_TEMP, gauge, GPU slowdown temperature in Celsius.
DCGM_FI_DEV_SHUTDOWN_TEMP, gauge, GPU shutdown temperature in Celsius.
DCGM_FI_DEV_FB_TOTAL, gauge, Framebuffer total memory in MiB.
DCGM_FI_DEV_FB_FREE, gauge, Framebuffer free memory in MiB.
DCGM_FI_DEV_FB_USED, gauge, Framebuffer used memory in MiB.
DCGM_FI_DEV_FB_RESERVED, gauge, Framebuffer reserved memory in MiB.
DCGM_FI_DEV_FB_USED_PERCENT, gauge, Framebuffer used memory percent.
DCGM_FI_DEV_BAR1_TOTAL, gauge, BAR1 total memory in MiB.
DCGM_FI_DEV_BAR1_USED, gauge, BAR1 used memory in MiB.
DCGM_FI_DEV_BAR1_FREE, gauge, BAR1 free memory in MiB.
DCGM_FI_DEV_ECC_CURRENT, gauge, Current ECC mode.
DCGM_FI_DEV_ECC_PENDING, gauge, Pending ECC mode.
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL, counter, Volatile single-bit ECC error total.
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL, counter, Volatile double-bit ECC error total.
DCGM_FI_DEV_ECC_SBE_AGG_TOTAL, counter, Aggregate single-bit ECC error total.
DCGM_FI_DEV_ECC_DBE_AGG_TOTAL, counter, Aggregate double-bit ECC error total.
DCGM_FI_DEV_RETIRED_SBE, counter, Retired pages due to single-bit ECC.
DCGM_FI_DEV_RETIRED_DBE, counter, Retired pages due to double-bit ECC.
DCGM_FI_DEV_RETIRED_PENDING, gauge, Pending retired pages.
DCGM_FI_DEV_ROW_REMAP_FAILURE, gauge, Row remap failure state.
DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS, counter, Uncorrectable remapped row total.
DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS, counter, Correctable remapped row total.
DCGM_FI_DEV_XID_ERRORS, gauge, Last observed XID error code.
DCGM_FI_DEV_NVML_INDEX, gauge, NVML GPU index.
DCGM_FI_DEV_MINOR_NUMBER, gauge, Device minor number.
DCGM_FI_DEV_PCIE_REPLAY_COUNTER, counter, PCIe replay counter.
DCGM_FI_DEV_PCIE_MAX_LINK_GEN, gauge, PCIe maximum link generation.
DCGM_FI_DEV_PCIE_MAX_LINK_WIDTH, gauge, PCIe maximum link width.
DCGM_FI_DEV_PCIE_LINK_GEN, gauge, PCIe current link generation.
DCGM_FI_DEV_PCIE_LINK_WIDTH, gauge, PCIe current link width.
DCGM_FI_PROF_PCIE_TX_BYTES, counter, PCIe transmitted bytes.
DCGM_FI_PROF_PCIE_RX_BYTES, counter, PCIe received bytes.
DCGM_FI_PROF_NVLINK_TX_BYTES, counter, NVLink transmitted bytes.
DCGM_FI_PROF_NVLINK_RX_BYTES, counter, NVLink received bytes.
DCGM_FI_DEV_NVLINK_COUNT_TX_BYTES, counter, NVLink device transmitted byte count.
DCGM_FI_DEV_NVLINK_COUNT_RX_BYTES, counter, NVLink device received byte count.
DCGM_FI_DEV_NVLINK_COUNT_RX_ERRORS, counter, NVLink receive error count.
DCGM_FI_DEV_NVLINK_COUNT_RX_REMOTE_ERRORS, counter, NVLink remote receive error count.
DCGM_FI_DEV_NVLINK_COUNT_RX_MALFORMED_PACKET_ERRORS, counter, NVLink malformed packet error count.
DCGM_FI_DEV_NVLINK_COUNT_RX_BUFFER_OVERRUN_ERRORS, counter, NVLink buffer overrun error count.
DCGM_FI_DEV_NVLINK_GET_STATE, gauge, NVLink link state.
DCGM_FI_DEV_FABRIC_MANAGER_STATUS, gauge, Fabric Manager status.
DCGM_FI_DEV_FABRIC_MANAGER_ERROR_CODE, gauge, Fabric Manager error code.
DCGM_FI_DEV_FABRIC_CLUSTER_UUID, gauge, Fabric cluster UUID inventory field.
DCGM_FI_DEV_FABRIC_CLIQUE_ID, gauge, Fabric clique identifier.
DCGM_FI_DEV_FABRIC_HEALTH_MASK, gauge, Fabric health bitmask.
DCGM_FI_DEV_C2C_LINK_COUNT, gauge, C2C link count.
DCGM_FI_DEV_C2C_LINK_STATUS, gauge, C2C link status.
DCGM_FI_DEV_C2C_MAX_BANDWIDTH, gauge, C2C maximum bandwidth.
DCGM_FI_PROF_C2C_TX_ALL_BYTES, counter, C2C transmitted all bytes.
DCGM_FI_PROF_C2C_TX_DATA_BYTES, counter, C2C transmitted data bytes.
DCGM_FI_PROF_C2C_RX_ALL_BYTES, counter, C2C received all bytes.
DCGM_FI_PROF_C2C_RX_DATA_BYTES, counter, C2C received data bytes.
